id,topic,animal,lesson,video_type,target_minutes,main_character,story_universe,audience,made_for_kids,script,title,description,status,video_url,created_at,scene_prompts,image_status,audio_status,youtube_status,youtube_video_id,video_file_path,error_message
TBT-BED-007,Toby helps a restless rabbit slow down under the silver trees,Toby the old turtle,The rejected often carry the deepest wisdom,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-008,Toby searches for the missing star that comforts animals who cannot sleep,Toby the old turtle,Real strength protects without humiliating,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-009,Toby waits through the longest night with a fox who fears being alone,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Rest is not failure; it is how strength returns,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-010,Toby repairs the tiny bridge that leads to the quiet meadow,Toby the old turtle,"Forgiveness needs boundaries, not blindness",bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-011,Toby teaches a young deer that rest is not weakness,Toby the old turtle,Kindness becomes powerful when it costs something,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-012,Toby follows the sound of a crying bell into the sleeping forest,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Slow progress still moves a life forward,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-013,Toby brings moonflowers to the animals who lost their way home,Toby the old turtle,Courage is not loud; it keeps walking,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-014,Toby learns why the lake becomes silent every winter night,Toby the old turtle,Healing starts when a heart stops pretending,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-015,Toby sits beside a broken nest until the morning feels safe again,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Patience can reach places speed cannot,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-001,Toby carries a cracked lantern across the flooded Moonlit Forest to find the animal who stopped answering,Toby the old turtle,Kindness becomes powerful when it costs something,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-002,Toby searches for the missing keeper of the bridge and discovers why everyone feared the truth,Toby the old turtle,Slow progress still moves a life forward,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-003,Toby helps an old wolf face the valley that rejected him years ago,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Courage is not loud; it keeps walking,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-004,Toby follows a trail of broken shells to uncover the secret of the silent lake,Toby the old turtle,Healing starts when a heart stops pretending,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-005,Toby crosses seven cold streams to bring home a fox who believes she ruins everything,Toby the old turtle,Patience can reach places speed cannot,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-006,Toby enters the abandoned burrow where every animal has left one regret behind,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Trust is rebuilt through repeated small actions,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-007,Toby must choose between reaching safety and saving the creature who once betrayed him,Toby the old turtle,The rejected often carry the deepest wisdom,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-008,Toby travels through the ash forest after a fire and helps the animals rebuild trust,Toby the old turtle,Real strength protects without humiliating,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-009,Toby investigates why the moon stops reflecting on the lake and finds a wounded heart beneath it,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Rest is not failure; it is how strength returns,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-010,Toby protects a blind horse on the last road home while the forest turns against them,Toby the old turtle,"Forgiveness needs boundaries, not blindness",long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-011,Toby follows a sparrow with a bent wing into the mountains of unfinished promises,Toby the old turtle,Kindness becomes powerful when it costs something,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-012,Toby returns to the place where he failed once and learns what courage really costs,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Slow progress still moves a life forward,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-013,Toby helps a bear who has become gentle but nobody believes he changed,Toby the old turtle,Courage is not loud; it keeps walking,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-014,Toby walks through a winter maze to bring back the forest’s oldest song,Toby the old turtle,Healing starts when a heart stops pretending,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-LONG-015,Toby carries messages between enemies until the forest remembers how to forgive,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Patience can reach places speed cannot,long_story,45,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-001,Six quiet journeys where Toby helps animals carrying pain they never speak about,Toby the old turtle,Kindness becomes powerful when it costs something,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-002,Seven Moonlit Forest stories about Toby finding courage in small broken places,Toby the old turtle,Slow progress still moves a life forward,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-003,Five emotional nights where Toby meets animals who pretend they are fine,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Courage is not loud; it keeps walking,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-004,Eight slow adventures where Toby proves kindness is stronger than speed,Toby the old turtle,Healing starts when a heart stops pretending,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-005,"Six bedtime-length tales about Toby, the lantern, and the animals who lost hope",Toby the old turtle,Patience can reach places speed cannot,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-006,"Seven stories from the lake, the bridge, the storm hill, and the forgotten den","Toby, Pip, Luna, Bruno and Moonlit Forest animals",Trust is rebuilt through repeated small actions,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-007,Five deep forest stories where Toby helps rejected animals find home again,Toby the old turtle,The rejected often carry the deepest wisdom,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-008,Six calming emotional stories where Toby repairs trust one step at a time,Toby the old turtle,Real strength protects without humiliating,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-009,Seven stories about Toby and the creatures who learn to stop hiding,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Rest is not failure; it is how strength returns,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-010,Five long soothing tales from Toby’s Moonlit Forest journeys,Toby the old turtle,"Forgiveness needs boundaries, not blindness",toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-011,Eight small miracles Toby finds while walking slower than everyone else,Toby the old turtle,Kindness becomes powerful when it costs something,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-012,"Six stories of forgiveness, patience, and second chances in the Moonlit Forest","Toby, Pip, Luna, Bruno and Moonlit Forest animals",Slow progress still moves a life forward,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-013,"Seven emotional rescue tales where Toby never uses force, only patience",Toby the old turtle,Courage is not loud; it keeps walking,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-014,Five quiet courage stories for late-night listening,Toby the old turtle,Healing starts when a heart stops pretending,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-COL-015,Six forest friendship stories where every ending feels earned,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Patience can reach places speed cannot,toby_collection,60,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-001,Toby sits beside the lake as each animal slowly lets go of the day,Toby the old turtle,Kindness becomes powerful when it costs something,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-002,Toby follows the rain path through soft moss and quiet memories,Toby the old turtle,Slow progress still moves a life forward,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-003,Toby listens to the river with a fox who cannot stop worrying,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Courage is not loud; it keeps walking,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-004,Toby walks under glowing leaves while the forest learns to breathe again,Toby the old turtle,Healing starts when a heart stops pretending,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-005,Toby watches over the meadow until every frightened sound becomes softer,Toby the old turtle,Patience can reach places speed cannot,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-006,Toby repairs a tiny shelter during a slow peaceful storm,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Trust is rebuilt through repeated small actions,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-007,Toby follows moonlit shells to a place where silence feels safe,Toby the old turtle,The rejected often carry the deepest wisdom,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-008,Toby helps a nervous rabbit count stars instead of fears,Toby the old turtle,Real strength protects without humiliating,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-009,Toby and the old owl spend the night beside the warm lantern,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Rest is not failure; it is how strength returns,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-010,Toby guides lost fireflies back to the quiet willow tree,Toby the old turtle,"Forgiveness needs boundaries, not blindness",calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-011,Toby walks through the fog without rushing the animals behind him,Toby the old turtle,Kindness becomes powerful when it costs something,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-012,Toby finds a hidden garden where every creature speaks gently,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Slow progress still moves a life forward,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-013,Toby waits for sunrise with a deer who forgot how to rest,Toby the old turtle,Courage is not loud; it keeps walking,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-014,Toby carries a soft song through the sleeping forest,Toby the old turtle,Healing starts when a heart stops pretending,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-CALM-015,Toby learns the difference between being alone and being at peace,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Patience can reach places speed cannot,calming,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-001,Toby crosses the broken bridge to save a wolf everyone else feared,Toby the old turtle,Kindness becomes powerful when it costs something,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-002,Toby follows claw marks into the storm hills to rescue a missing cub,Toby the old turtle,Slow progress still moves a life forward,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-003,Toby enters the dark ravine where no fast animal dares to slow down,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Courage is not loud; it keeps walking,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-004,Toby climbs toward the thunder nest to return a stolen egg,Toby the old turtle,Healing starts when a heart stops pretending,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-005,Toby leads the forest across sinking ground when the old road disappears,Toby the old turtle,Patience can reach places speed cannot,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-006,Toby and Luna the fox search for the map hidden inside a hollow tree,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Trust is rebuilt through repeated small actions,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-007,Toby faces the river current to save the animal who mocked him,Toby the old turtle,The rejected often carry the deepest wisdom,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-008,Toby walks into the old badger tunnels to stop a fear spreading through the forest,Toby the old turtle,Real strength protects without humiliating,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-009,"Toby carries a warning through wind, rain, and animals who refuse to listen","Toby, Pip, Luna, Bruno and Moonlit Forest animals",Rest is not failure; it is how strength returns,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-010,Toby helps Pip fly again during the highest storm of the season,Toby the old turtle,"Forgiveness needs boundaries, not blindness",adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-011,Toby crosses the winter ridge to bring medicine to the forgotten den,Toby the old turtle,Kindness becomes powerful when it costs something,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-012,Toby follows a trail of silver feathers to the mountain nobody returns from,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Slow progress still moves a life forward,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-013,Toby saves the Moonlit Forest when the lantern flame begins to fade,Toby the old turtle,Courage is not loud; it keeps walking,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-014,Toby leads rejected animals through the night while hunters of fear chase them,Toby the old turtle,Healing starts when a heart stops pretending,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-ADV-015,Toby discovers that the monster in the cave is only a creature in pain,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Patience can reach places speed cannot,adventure,35,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
